Do you travel in city.?, TOV,TF,age,Locv,gmap,st,tst,mktgb,boty,dit,mktgbu,seewhat
Yes ,2 wheeler,Daily,19,Yes ,Yes ,Yes ,200,Yes,"Commercials , jwelers , tech",Think,Sometimes,Educational
Yes ,4 wheeler | 2 wheeler,Daily,21,No,Yes ,Yes ,120,No,Nothing,Think,Yes,Anything
Yes ,2 wheeler,weekly,18,No,Yes ,Yes ,80,Yes,Idk,Think,Yes,Idk
Yes ,2 wheeler,Daily,19,No,Yes ,Yes ,30,Yes,Advertisement s,Think,Yes,Educational
Yes ,4 wheeler | 2 wheeler,weekly,21,No,Yes ,Yes ,4,Sometimes,"Jwellery, fashion brands, car brands",Look around | Play radio,Sometimes,Educational
Yes ,4 wheeler | 2 wheeler,weekly,20,Yes ,Yes ,Yes ,150,Yes | Sometimes,Advertisement,Look around | Look at quotes written on predecessors end | Play radio | Think,Yes,Advertisement
Yes ,2 wheeler,Daily,21,Yes ,Yes ,Yes ,60,Yes,Advertising boards related to electronics,Think,Yes,Related to interesting products maybe
Yes ,4 wheeler,Daily,20,No,No,Yes ,300,Yes,brands,Look at quotes written on predecessors end,Sometimes,no idea
Yes ,4 wheeler,Monthly,19,Yes ,Yes ,Yes ,200,Sometimes,"Advertisement of cloths,cars etc.",Look around,Yes,Anything which is useful for daily household
Yes ,4 wheeler | 2 wheeler,A few times week,19,Yes ,Yes ,Yes ,1000,No,"Signages, publicity holdings etc.",Think,Yes,Tech marketings and digital things which some company newly launched.
Yes ,2 wheeler,A few times a month,19,Yes ,Yes ,Yes ,300,Yes,New apartment openings,Look around,Sometimes,New Shopping outlets
Yes ,2 wheeler,weekly,21,Yes  | No,Yes ,Yes ,30,Sometimes,"Clg, ad of phones etc.",Look around | Look at quotes written on predecessors end,Sometimes,.
Yes ,2 wheeler,weekly,21,Yes ,Yes ,Yes ,45,Sometimes,Advertising,Look around,Sometimes,Useful
Yes ,2 wheeler,A few times a month,21,No,Yes ,Yes ,20,Sometimes,I don't remember,Play radio,Never,No
Yes ,2 wheeler,weekly,21,Yes  | No,Yes ,Yes ,60,Yes,Every sort of boards jwellers automobile mobile,Think,Sometimes,Don't remember
Yes ,2 wheeler,weekly,21,No,Yes ,Yes ,60,Sometimes,"Regarding coaching centres, shopping, sale, etc",Look at quotes written on predecessors end,Sometimes,Mostly regarding SALE
Yes ,4 wheeler | 2 wheeler,weekly,22,No,Yes ,Yes ,60,Yes,"Cosmetics, housing, jwellery",Look around | Look at quotes written on predecessors end | Play radio | Think,Yes,NA
Yes ,4 wheeler | 2 wheeler,weekly,20,Yes ,Yes ,Yes ,120,Yes,"Political rally, Commercials",Look around,Yes,Thought provoking
Yes ,2 wheeler,Daily,22,No,No,Yes ,120,Yes,Advertisement,Play radio,Yes,Site advertisement board
Yes ,4 wheeler | 2 wheeler,weekly,21,Yes ,Yes ,Yes ,600,Yes,Brands,Look around,Yes,Some exciting offers
Yes ,2 wheeler,Daily,20,Yes ,Yes ,Yes ,60,Yes,"Clothing, sports, jewellery",Think,Yes,Ones with various offers and discounts
Yes ,2 wheeler,A few times week,21,Yes ,Yes ,No,80,Sometimes,Brand promotion,Look around,Yes,Regarding sale at stores and new restaurants
Yes ,2 wheeler,Daily,21,Yes ,Yes ,Yes ,60,Yes,Commercial,Think,Yes,Something related to relatestate
Yes ,2 wheeler,weekly,20,No,Yes ,Yes ,1,Yes,Advertising,Look around,Yes,Advertising boards
Yes ,2 wheeler,About once a week,22,Yes ,Yes ,Yes ,900,Yes,"reality show promotions, product promotions, real estate etc.",Look around | Play radio,Yes,"real estate. product campaigns, daily soaps and movie promotions, sports campaigns, college hoarding"
Yes ,2 wheeler,Daily,21,No,Yes ,Yes ,10,Yes,Marketing boards,Look around,Yes,Shoes
Yes ,4 wheeler | 2 wheeler,Monthly,20,No,No,Yes ,360,Yes,"Constructions, New Series",Look around,Sometimes,"New constructions, new Tv series"
Yes ,4 wheeler | 2 wheeler,Monthly,23,No,No,Yes ,160,Yes,"Marketing, health products, beauty products",Look around | Look at quotes written on predecessors end | Play radio | Think,Sometimes,"Beauty products, restaurants, health care products"
Yes ,2 wheeler,weekly,21,No,Yes ,Yes ,120,Yes,Real estate hoardings,Look around | Think,Yes,Commercial
Yes ,2 wheeler,Daily,21,No,Yes ,No,50,No,.,Play radio,No,.
Yes ,4 wheeler | 2 wheeler,Monthly,20,Yes ,No,Yes ,10,Yes,Advertising,Play radio,Yes,Nothing
Yes ,4 wheeler | 2 wheeler,Daily,42,No,No,Yes ,10,Yes,Advertising Boards,Look around | Look at quotes written on predecessors end,Yes,Informative ones
Yes ,2 wheeler,A few times a month,20,Yes ,Yes ,Yes ,30,Yes,"Advertisement, promotion",Look around,Yes,Colourfull and intelligently made
